raw_string,canonical_name
W�RTH,WURTH ELECTRONICS
W�RTH ELEKTRONIK,WURTH ELECTRONICS
W�RTH ELEKTRONIK IBE,WURTH ELECTRONICS
W�RTH ELEKTRONIK ICS,WURTH ELECTRONICS
W�RTH ELEKTRONIK MIDCOM,"WURTH ELECTRONICS MIDCOM, INC."
X MULTIPLE,"XMULTIPLE TECHNOLOGIES, INC"
XILINX,"ADVANCED MICRO DEVICES, INC"
XILINX (AMD),"ADVANCED MICRO DEVICES, INC"
XILINX INC,"ADVANCED MICRO DEVICES, INC"
XMULTIPLE,"XMULTIPLE TECHNOLOGIES, INC"
XMULTIPLE UK,"XMULTIPLE TECHNOLOGIES, INC"
XP POWER,XP POWER
YAGEO,YAGEO GROUP
YAGEO  (LF),YAGEO GROUP
YAGEO  CORP,YAGEO GROUP
YAGEO (PHYCOMP),YAGEO GROUP
YAGEO / PHYCOMP,YAGEO GROUP
YAGEO AMERICA,YAGEO GROUP
YAGEO CORP,YAGEO GROUP
YAGEO CORPORATION,YAGEO GROUP
YAGEO EUROPE,YAGEO GROUP
YAGEO GROUP,YAGEO GROUP
YAGEO TAIWAN,YAGEO GROUP
"YAGEO, PHICOMP",YAGEO GROUP
YAGEO/PHYCOMP,YAGEO GROUP
YAMAICHI,YAMAICHI ELECTRONICS CO.
YAMAICHI ELECTRONICS,YAMAICHI ELECTRONICS CO.
YANGJIE,"YANGZHOU YANGJIE ELECTRONIC TECHNOLOGY CO., LTD"
YAZAKI,YAZAKI CORPORATION
ZENTRI,SILICON LABORATORIES
ZENTRI (SILICON LABS),SILICON LABORATORIES
ZENTRUM MIKROELEKTRONIK DRESDEN,RENESAS ELECTRONICS CORPORATION
ZETEX,DIODES INCORPORATED
ZETEX SEMICONDUCTORS,DIODES INCORPORATED
ZETEX SEMICONDUCTORS (DIODES INC.),DIODES INCORPORATED
ZETTLER,ZETTLER GROUP
ZETTLER MAGNETICS,ZETTLER GROUP
ZMDI,RENESAS ELECTRONICS CORPORATION
ZXSIGNAL,"SIGNAL PLUS TECHNOLOGY CO.,LTD"
