,,,Setup,Labour,Grand Total (Minutes),(Hrs),,,,,,,,,,,,,,,
,TOTAL No. OF NON-SMT PARTS REQUIRING PREP,C2,,,1,,"For standard prep parts (lead trimming, bending, etc.).",,,,,,,,,,,,,,
x,No. TYPES OF NON-SMT PARTS (other),B2,,,1,,,,,,,,,,,,,,,,
x,SETUP TIME PER TYPE OF NON-SMT PART,4,,,4,,,,,,,,,,,,,,,,
x,PREP TIME TIME PER NON-SMT PART,0.1,,,0.2,,,,,,,,,,,,,,,,
x,FORMULA:,,,,,,,,,,,,,,,,,,,,
,RUN PER PCB, C2*0.1,,0.2,0.2,,,,,,,,,,,,,,,,
,RUN PER PCB (ADDITIONAL PREP),AS REQUIRED,,0,0,,"For non-standard prep components, or minor sub-assembly done at prepping area.",,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,IC PROGRAMMING:,,,,,,,,,,,,,,,,,,,,
x,SETUP TIME,15,,,15,,,,,,,,,,,,,,,,
,SETUP PER PCB,15/BATCH SIZE,0,,0,,,,,,,,,,,,,,,,
,No. OF PROGRAMMED PARTS,D,,,0,,,,,,,,,,,,,,,,
,TIME PER PROGRAMMED PART,1,,,0,,Verification/adjustment required by Engineer,,,,,,,,,,,,,,
x,FORMULA:,,,,,,,,,,,,,,,,,,,,
,RUN PER PCB, D*1,,0,0,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,SMT & INSPECTION,,,,,,,,,,,,,,,,,,,,
,No. SIDES OF PCB,E,,,2,,,,,,,,,,,,,,,,
x,No. TYPES OF SMT PARTS,A,,,25,,,,,,,,,,,,,,,,
x,TIME PER TYPE OF SMT PART (FEEDER SETUP / TEAR DOWN),5,,,5,,,,,,,,,,,,,,,,
x,AVE INSPECTION TIME PER COMPONENT FOR FIRST OFF,0.2,,,0.3333333333333333,,Decreased to match FQC.  Trials show 20 sec per part,,,,,,,,,,,,,,
x,BATCH SIZE,BATCH SIZE,,,100,,,,,,,,,,,,,,,,
x,CHANGEOVER TIME,45,,,3,,,,,,,,,,,,,,,,
x,CHANGEOVER SETUP TIME S1,A*3,,,75,,,,,,,,,,,,,,,,
x,FEEDER SETUP S2, A*5,,,125,,,,,,,,,,,,,,,,
x,FIRST-OFF TIME (PANEL) S3, K*E*(M+N) + L*[CP*(I+J) + IP*(G+H) + 0.4*F] + 10,,,48.80013333333333,,,,,,,,,,,,,,,,
x,PTS SCANNING PER TYPE OF SMT PART,,,,0.5,,,,,,,,,,,,,,,,
x,PTS SCANNING TIME,,,,12.5,,,,,,,,,,,,,,,,
