U/M,NAME
EA,EACH
G,GRAM
HR,HOUR
HUN,HUNDREDS
KG,KILOGRAM
KIT,KIT
L,LITRE
LBS,POUNDS
M,METRE
ML,MILI-LITRE
MM,MILLIMETRE
MM2,MILLIMETERS SQU
P,PACKET/BOX/PANE
PR,PAIR
R,ROLL/REEL
SET,SET
SHT,SHEETS
TH,THOUSANDS
